pc11_state_id,pc11_district_id,state_name,district_name
01,000,UNKNOWN_STATE,
01,001,JAMMU KASHMIR,KUPWARA
01,002,JAMMU KASHMIR,BADGAM
01,003,JAMMU KASHMIR,LEH LADAKH
01,004,JAMMU KASHMIR,KARGIL
01,005,JAMMU KASHMIR,PUNCH
01,006,JAMMU KASHMIR,RAJOURI
01,007,JAMMU KASHMIR,KATHUA
01,008,JAMMU KASHMIR,BARAMULA
01,009,JAMMU KASHMIR,BANDIPORE
01,010,JAMMU KASHMIR,SRINAGAR
01,011,JAMMU KASHMIR,GANDERBAL
01,012,JAMMU KASHMIR,PULWAMA
01,013,JAMMU KASHMIR,SHUPIYAN
01,014,JAMMU KASHMIR,ANANTNAG
01,015,JAMMU KASHMIR,KULGAM
01,016,JAMMU KASHMIR,DODA
01,017,JAMMU KASHMIR,RAMBAN
01,018,JAMMU KASHMIR,KISHTWAR
01,019,JAMMU KASHMIR,UDHAMPUR
01,020,JAMMU KASHMIR,REASI
01,021,JAMMU KASHMIR,JAMMU
01,022,JAMMU KASHMIR,SAMBA
02,023,HIMACHAL PRADESH,CHAMBA
02,024,HIMACHAL PRADESH,KANGRA
02,025,HIMACHAL PRADESH,LAHUL SPITI
02,026,HIMACHAL PRADESH,KULLU
02,027,HIMACHAL PRADESH,MANDI
02,028,HIMACHAL PRADESH,HAMIRPUR
02,029,HIMACHAL PRADESH,UNA
02,030,HIMACHAL PRADESH,BILASPUR
02,031,HIMACHAL PRADESH,SOLAN
02,032,HIMACHAL PRADESH,SIRMAUR
02,033,HIMACHAL PRADESH,SHIMLA
02,034,HIMACHAL PRADESH,KINNAUR
03,035,PUNJAB,GURDASPUR
03,036,PUNJAB,KAPURTHALA
03,037,PUNJAB,JALANDHAR
03,038,PUNJAB,HOSHIARPUR
03,039,PUNJAB,SHAHID BHAGAT SINGH NAGAR
03,040,PUNJAB,FATEHGARH SAHIB
03,041,PUNJAB,LUDHIANA
03,042,PUNJAB,MOGA
03,043,PUNJAB,FIROZPUR
03,044,PUNJAB,MUKTSAR
03,045,PUNJAB,FARIDKOT
03,046,PUNJAB,BATHINDA
03,047,PUNJAB,MANSA
03,048,PUNJAB,PATIALA
03,049,PUNJAB,AMRITSAR
03,050,PUNJAB,TARN TARAN
03,051,PUNJAB,RUPNAGAR
03,052,PUNJAB,SAHIBZADA AJIT SINGH NAGAR
03,053,PUNJAB,SANGRUR
03,054,PUNJAB,BARNALA
04,055,CHANDIGARH,CHANDIGARH
